{'Epoch': 135, 'loss': 0.5250,'accuracy': 0.8895 },
{'Epoch': 136, 'loss': 0.5222,'accuracy': 0.8877 },
{'Epoch': 137, 'loss': 0.5160,'accuracy': 0.8891 },
{'Epoch': 138, 'loss': 0.5124,'accuracy': 0.8898 },
{'Epoch': 139, 'loss': 0.5344,'accuracy': 0.8872 },
{'Epoch': 140, 'loss': 0.5159,'accuracy': 0.8881 },
{'Epoch': 141, 'loss': 0.5085,'accuracy': 0.8899 },
{'Epoch': 142, 'loss': 0.5048,'accuracy': 0.8885 },
{'Epoch': 143, 'loss': 0.5050,'accuracy': 0.8918 },
{'Epoch': 144, 'loss': 0.5008,'accuracy': 0.8885 },
{'Epoch': 145, 'loss': 0.4965,'accuracy': 0.8887 },
{'Epoch': 146, 'loss': 0.4948,'accuracy': 0.8901 },
{'Epoch': 147, 'loss': 0.4922,'accuracy': 0.8908 },
{'Epoch': 148, 'loss': 0.4949,'accuracy': 0.8891 },
{'Epoch': 149, 'loss': 0.4940,'accuracy': 0.8898 },
{'Epoch': 150, 'loss': 0.4901,'accuracy': 0.8896 },
{'Epoch': 151, 'loss': 0.4962,'accuracy': 0.8896 },
{'Epoch': 152, 'loss': 0.4945,'accuracy': 0.8905 },
{'Epoch': 153, 'loss': 0.4918,'accuracy': 0.8890 },
{'Epoch': 154, 'loss': 0.4908,'accuracy': 0.8887 },
{'Epoch': 155, 'loss': 0.4802,'accuracy': 0.8912 },
{'Epoch': 156, 'loss': 0.4743,'accuracy': 0.8916 },
{'Epoch': 157, 'loss': 0.4700,'accuracy': 0.8914 },
{'Epoch': 158, 'loss': 0.4708,'accuracy': 0.8892 },
{'Epoch': 159, 'loss': 0.4716,'accuracy': 0.8906 },
{'Epoch': 160, 'loss': 0.4712,'accuracy': 0.8912 },
{'Epoch': 161, 'loss': 0.4679,'accuracy': 0.8893 },
{'Epoch': 162, 'loss': 0.4651,'accuracy': 0.8923 },
{'Epoch': 163, 'loss': 0.4664,'accuracy': 0.8904 },
{'Epoch': 164, 'loss': 0.4669,'accuracy': 0.8914 },
{'Epoch': 165, 'loss': 0.4676,'accuracy': 0.8905 },
{'Epoch': 166, 'loss': 0.4642,'accuracy': 0.8900 },
{'Epoch': 167, 'loss': 0.4597,'accuracy': 0.8906 },
{'Epoch': 168, 'loss': 0.4601,'accuracy': 0.8910 },
{'Epoch': 169, 'loss': 0.4510,'accuracy': 0.8912 },
{'Epoch': 170, 'loss': 0.4523,'accuracy': 0.8905 },
{'Epoch': 171, 'loss': 0.4535,'accuracy': 0.8897 },
{'Epoch': 172, 'loss': 0.4500,'accuracy': 0.8906 },
{'Epoch': 173, 'loss': 0.4556,'accuracy': 0.8903 },
{'Epoch': 174, 'loss': 0.4529,'accuracy': 0.8908 },
{'Epoch': 175, 'loss': 0.4525,'accuracy': 0.8899 },
{'Epoch': 176, 'loss': 0.4459,'accuracy': 0.8893 },
{'Epoch': 177, 'loss': 0.4422,'accuracy': 0.8919 },
{'Epoch': 178, 'loss': 0.4477,'accuracy': 0.8913 },
{'Epoch': 179, 'loss': 0.4452,'accuracy': 0.8905 },
{'Epoch': 180, 'loss': 0.4391,'accuracy': 0.8919 },
{'Epoch': 181, 'loss': 0.4386,'accuracy': 0.8914 },
